tool_1	tool_2	cell_line	nr_union	nr_intersection	perc_compound_val_1	count_group	perc_compound_val_2	total_n_1	total_n_2	w_val_rate	tool_lt_1	tool_lt_2	tool_combo	total_cell_line	perc_increase_t1
CIRCexplorer3	circtools	NCI-H23	5768	3376	0.927536231884058	count ≥ 5	0.9523809523809524	4747	4397	0.9394831080897496	A	F	AF	9964	0.21508321044870443
CIRCexplorer3	circtools	HLF	6925	4074	0.927536231884058	count ≥ 5	0.9523809523809524	5530	5469	0.9398896982353186	A	F	AF	11465	0.2522603978300181
CIRCexplorer3	circtools	SW480	5871	3491	0.927536231884058	count ≥ 5	0.9523809523809524	4924	4438	0.9393137227583602	A	F	AF	9691	0.19232331437855402
CIRCexplorer3	CIRCexplorer3	NCI-H23	4747	4747	0.927536231884058	count ≥ 5	0.927536231884058	4747	4747	0.927536231884058	A	A	A	9964	0
CIRCexplorer3	CIRCexplorer3	HLF	5530	5530	0.927536231884058	count ≥ 5	0.927536231884058	5530	5530	0.9275362318840581	A	A	A	11465	0
CIRCexplorer3	CIRCexplorer3	SW480	4924	4924	0.927536231884058	count ≥ 5	0.927536231884058	4924	4924	0.9275362318840581	A	A	A	9691	0
CIRCexplorer3	CirComPara2	NCI-H23	6003	3656	0.927536231884058	count ≥ 5	0.9814814814814816	4747	4912	0.9549696169158982	A	B	AB	9964	0.2645881609437539
CIRCexplorer3	CirComPara2	HLF	6980	4130	0.927536231884058	count ≥ 5	0.9814814814814816	5530	5580	0.954630245633259	A	B	AB	11465	0.26220614828209765
CIRCexplorer3	CirComPara2	SW480	6302	3823	0.927536231884058	count ≥ 5	0.9814814814814816	4924	5201	0.9552467744180038	A	B	AB	9691	0.27985377741673434
CIRCexplorer3	circRNA_finder	NCI-H23	5370	2339	0.927536231884058	count ≥ 5	0.953125	4747	2962	0.9373681077641228	A	C	AC	9964	0.13124078365283337
CIRCexplorer3	circRNA_finder	HLF	6343	2971	0.927536231884058	count ≥ 5	0.953125	5530	3784	0.9379321840582822	A	C	AC	11465	0.14701627486437613
CIRCexplorer3	circRNA_finder	SW480	5488	2437	0.927536231884058	count ≥ 5	0.953125	4924	3001	0.9372260606684041	A	C	AC	9691	0.11454102355808286
CIRCexplorer3	circseq_cup	NCI-H23	6516	1015	0.927536231884058	count ≥ 5	0.7297297297297297	4747	2784	0.8544127022070364	A	D	AD	9964	0.372656414577628
CIRCexplorer3	circseq_cup	HLF	7471	949	0.927536231884058	count ≥ 5	0.7297297297297297	5530	2890	0.8596430262752685	A	D	AD	11465	0.350994575045208
CIRCexplorer3	circseq_cup	SW480	6639	1031	0.927536231884058	count ≥ 5	0.7297297297297297	4924	2746	0.8567178935638774	A	D	AD	9691	0.34829406986190087
CIRCexplorer3	CIRI2	NCI-H23	6570	4385	0.927536231884058	count ≥ 5	0.913793103448276	4747	6208	0.9197482500192169	A	G	AG	9964	0.3840320202232989
CIRCexplorer3	CIRI2	HLF	7815	5133	0.927536231884058	count ≥ 5	0.913793103448276	5530	7418	0.9196626972272283	A	G	AG	11465	0.4132007233273056
CIRCexplorer3	CIRI2	SW480	6697	4561	0.927536231884058	count ≥ 5	0.913793103448276	4924	6334	0.9198040436168486	A	G	AG	9691	0.36007311129163283
CIRCexplorer3	CIRIquant	NCI-H23	5788	3253	0.927536231884058	count ≥ 5	0.9830508474576272	4747	4294	0.9539027576304252	A	H	AH	9964	0.21929639772487888
CIRCexplorer3	CIRIquant	HLF	6838	3792	0.927536231884058	count ≥ 5	0.9830508474576272	5530	5100	0.9541707134856764	A	H	AH	11465	0.23652802893309222
CIRCexplorer3	CIRIquant	SW480	5967	3424	0.927536231884058	count ≥ 5	0.9830508474576272	4924	4467	0.9539427687562904	A	H	AH	9691	0.21181965881397238
CIRCexplorer3	ecircscreen	NCI-H23	5035	1621	0.927536231884058	count ≥ 5	0.9666666666666668	4747	1909	0.9387591886148272	A	I	AI	9964	0.06066989677691173
CIRCexplorer3	ecircscreen	HLF	5845	1995	0.927536231884058	count ≥ 5	0.9666666666666668	5530	2310	0.9390657349896482	A	I	AI	11465	0.056962025316455694
CIRCexplorer3	ecircscreen	SW480	5179	1713	0.927536231884058	count ≥ 5	0.9666666666666668	4924	1968	0.9387098673530329	A	I	AI	9691	0.051787164906580016
CIRCexplorer3	find_circ	NCI-H23	5281	2509	0.927536231884058	count ≥ 5	0.9402985074626866	4747	3043	0.9325215469785081	A	J	AJ	9964	0.11249210027385717
CIRCexplorer3	find_circ	HLF	6160	2939	0.927536231884058	count ≥ 5	0.9402985074626866	5530	3569	0.9325421184144597	A	J	AJ	11465	0.11392405063291139
CIRCexplorer3	find_circ	SW480	5357	2539	0.927536231884058	count ≥ 5	0.9402985074626866	4924	2972	0.9323398644853352	A	J	AJ	9691	0.0879366368805849
CIRCexplorer3	KNIFE	NCI-H23	4887	1739	0.927536231884058	count ≥ 5	0.9047619047619048	4747	1879	0.9210778919108424	A	K	AK	9964	0.02949231093322098
CIRCexplorer3	KNIFE	HLF	5686	2127	0.927536231884058	count ≥ 5	0.9047619047619048	5530	2283	0.9208814528209739	A	K	AK	11465	0.028209764918625677
CIRCexplorer3	KNIFE	SW480	5089	1860	0.927536231884058	count ≥ 5	0.9047619047619048	4924	2025	0.9208995917311784	A	K	AK	9691	0.033509341998375304
CIRCexplorer3	NCLscan	NCI-H23	4839	1649	0.927536231884058	count ≥ 5	0.9310344827586208	4747	1741	0.9284749579587519	A	N	AN	9964	0.01938066147040236
CIRCexplorer3	NCLscan	HLF	5685	2042	0.927536231884058	count ≥ 5	0.9310344827586208	5530	2197	0.9285308814468138	A	N	AN	11465	0.02802893309222423
CIRCexplorer3	NCLscan	SW480	5037	1679	0.927536231884058	count ≥ 5	0.9310344827586208	4924	1792	0.9284696543925774	A	N	AN	9691	0.022948822095857028
CIRCexplorer3	NCLcomparator	NCI-H23	4833	1606	0.927536231884058	count ≥ 5	0.9545454545454546	4747	1692	0.9346335458680746	A	L	AL	9964	0.018116705287550033
CIRCexplorer3	NCLcomparator	HLF	5684	1992	0.927536231884058	count ≥ 5	0.9545454545454546	5530	2146	0.9350872730293625	A	L	AL	11465	0.027848101265822784
CIRCexplorer3	NCLcomparator	SW480	5036	1646	0.927536231884058	count ≥ 5	0.9545454545454546	4924	1758	0.9346422201269098	A	L	AL	9691	0.022745735174654752
CIRCexplorer3	PFv2	NCI-H23	5549	156	0.927536231884058	count ≥ 5	0.2714285714285714	4747	958	0.8173607474464845	A	M	AM	9964	0.16894880977459448
CIRCexplorer3	PFv2	HLF	6346	212	0.927536231884058	count ≥ 5	0.2714285714285714	5530	1028	0.8246880045360494	A	M	AM	11465	0.14755877034358048
CIRCexplorer3	PFv2	SW480	5564	212	0.927536231884058	count ≥ 5	0.2714285714285714	4924	852	0.8307558082850147	A	M	AM	9691	0.12997562956945571
CIRCexplorer3	segemehl	NCI-H23	5179	716	0.927536231884058	count ≥ 5	0.90625	4747	1148	0.9233909232830574	A	O	AO	9964	0.0910048451653676
CIRCexplorer3	segemehl	HLF	6056	846	0.927536231884058	count ≥ 5	0.90625	5530	1372	0.9233048916718112	A	O	AO	11465	0.09511754068716094
CIRCexplorer3	segemehl	SW480	5020	243	0.927536231884058	count ≥ 5	0.90625	4924	339	0.926165144555786	A	O	AO	9691	0.01949634443541836
CIRCexplorer3	CircSplice	NCI-H23	5357	2618	0.927536231884058	count ≥ 5	0.8823529411764706	4747	3228	0.9092476221782156	A	E	AE	9964	0.12850221192331998
CIRCexplorer3	CircSplice	HLF	6309	3317	0.927536231884058	count ≥ 5	0.8823529411764706	5530	4096	0.9083100986263937	A	E	AE	11465	0.14086799276672696
CIRCexplorer3	CircSplice	SW480	5448	2684	0.927536231884058	count ≥ 5	0.8823529411764706	4924	3208	0.9097118348611927	A	E	AE	9691	0.10641754670999187
CirComPara2	circtools	NCI-H23	5720	3589	0.9814814814814816	count ≥ 5	0.9523809523809524	4912	4397	0.9677361783925326	B	F	BF	9964	0.16449511400651465
CirComPara2	circtools	HLF	6671	4378	0.9814814814814816	count ≥ 5	0.9523809523809524	5580	5469	0.9670773911881705	B	F	BF	11465	0.19551971326164874
CirComPara2	circtools	SW480	5872	3767	0.9814814814814816	count ≥ 5	0.9523809523809524	5201	4438	0.9680829807917682	B	F	BF	9691	0.12901365122091907
CirComPara2	CIRCexplorer3	NCI-H23	6003	3656	0.9814814814814816	count ≥ 5	0.927536231884058	4912	4747	0.9549696169158982	B	A	AB	9964	0.22210912052117263
CirComPara2	CIRCexplorer3	HLF	6980	4130	0.9814814814814816	count ≥ 5	0.927536231884058	5580	5530	0.954630245633259	B	A	AB	11465	0.25089605734767023
CirComPara2	CIRCexplorer3	SW480	6302	3823	0.9814814814814816	count ≥ 5	0.927536231884058	5201	4924	0.9552467744180038	B	A	AB	9691	0.21169005960392231
CirComPara2	CirComPara2	NCI-H23	4912	4912	0.9814814814814816	count ≥ 5	0.9814814814814816	4912	4912	0.9814814814814815	B	B	B	9964	0
CirComPara2	CirComPara2	HLF	5580	5580	0.9814814814814816	count ≥ 5	0.9814814814814816	5580	5580	0.9814814814814817	B	B	B	11465	0
CirComPara2	CirComPara2	SW480	5201	5201	0.9814814814814816	count ≥ 5	0.9814814814814816	5201	5201	0.9814814814814816	B	B	B	9691	0
CirComPara2	circRNA_finder	NCI-H23	5274	2600	0.9814814814814816	count ≥ 5	0.953125	4912	2962	0.9708144890826819	B	C	BC	9964	0.0736970684039088
CirComPara2	circRNA_finder	HLF	6086	3278	0.9814814814814816	count ≥ 5	0.953125	5580	3784	0.9700226043001567	B	C	BC	11465	0.0906810035842294
CirComPara2	circRNA_finder	SW480	5501	2701	0.9814814814814816	count ≥ 5	0.953125	5201	3001	0.9711062314295521	B	C	BC	9691	0.05768121515093251
CirComPara2	circseq_cup	NCI-H23	6625	1071	0.9814814814814816	count ≥ 5	0.7297297297297297	4912	2784	0.8904112012220121	B	D	BD	9964	0.34873778501628666
CirComPara2	circseq_cup	HLF	7487	983	0.9814814814814816	count ≥ 5	0.7297297297297297	5580	2890	0.895582713764532	B	D	BD	11465	0.3417562724014337
CirComPara2	circseq_cup	SW480	6861	1086	0.9814814814814816	count ≥ 5	0.7297297297297297	5201	2746	0.8944913832921887	B	D	BD	9691	0.3191693905018266
CirComPara2	CIRI2	NCI-H23	6775	4345	0.9814814814814816	count ≥ 5	0.913793103448276	4912	6208	0.9436928618025121	B	G	BG	9964	0.37927524429967424
CirComPara2	CIRI2	HLF	8004	4994	0.9814814814814816	count ≥ 5	0.913793103448276	5580	7418	0.9428515085433128	B	G	BG	11465	0.4344086021505376
CirComPara2	CIRI2	SW480	6961	4574	0.9814814814814816	count ≥ 5	0.913793103448276	5201	6334	0.9443130214500708	B	G	BG	9691	0.3383964622188041
CirComPara2	CIRIquant	NCI-H23	5839	3367	0.9814814814814816	count ≥ 5	0.9830508474576272	4912	4294	0.9822134885965771	B	H	BH	9964	0.1887214983713355
CirComPara2	CIRIquant	HLF	6767	3913	0.9814814814814816	count ≥ 5	0.9830508474576272	5580	5100	0.9822308978184052	B	H	BH	11465	0.21272401433691757
CirComPara2	CIRIquant	SW480	6110	3558	0.9814814814814816	count ≥ 5	0.9830508474576272	5201	4467	0.9822065908955737	B	H	BH	9691	0.17477408190732552
CirComPara2	ecircscreen	NCI-H23	5087	1734	0.9814814814814816	count ≥ 5	0.9666666666666668	4912	1909	0.9773352446420912	B	I	BI	9964	0.035627035830618894
CirComPara2	ecircscreen	HLF	5778	2112	0.9814814814814816	count ≥ 5	0.9666666666666668	5580	2310	0.9771440642163077	B	I	BI	11465	0.035483870967741936
CirComPara2	ecircscreen	SW480	5343	1826	0.9814814814814816	count ≥ 5	0.9666666666666668	5201	1968	0.9774145885318993	B	I	BI	9691	0.027302441838108055
CirComPara2	find_circ	NCI-H23	5395	2560	0.9814814814814816	count ≥ 5	0.9402985074626866	4912	3043	0.9657278938084215	B	J	BJ	9964	0.09833061889250815
CirComPara2	find_circ	HLF	6139	3010	0.9814814814814816	count ≥ 5	0.9402985074626866	5580	3569	0.9654161154006992	B	J	BJ	11465	0.10017921146953405
CirComPara2	find_circ	SW480	5568	2605	0.9814814814814816	count ≥ 5	0.9402985074626866	5201	2972	0.9665058545655563	B	J	BJ	9691	0.07056335320130744
CirComPara2	KNIFE	NCI-H23	5050	1741	0.9814814814814816	count ≥ 5	0.9047619047619048	4912	1879	0.9602539620210068	B	K	BK	9964	0.02809446254071661
CirComPara2	KNIFE	HLF	5753	2110	0.9814814814814816	count ≥ 5	0.9047619047619048	5580	2283	0.9592061675236038	B	K	BK	11465	0.03100358422939068
CirComPara2	KNIFE	SW480	5341	1885	0.9814814814814816	count ≥ 5	0.9047619047619048	5201	2025	0.9599817384899035	B	K	BK	9691	0.026917900403768506
CirComPara2	NCLscan	NCI-H23	4945	1708	0.9814814814814816	count ≥ 5	0.9310344827586208	4912	1741	0.9682801851074397	B	N	BN	9964	0.006718241042345277
CirComPara2	NCLscan	HLF	5614	2163	0.9814814814814816	count ≥ 5	0.9310344827586208	5580	2197	0.967230220559002	B	N	BN	11465	0.0060931899641577065
CirComPara2	NCLscan	SW480	5219	1774	0.9814814814814816	count ≥ 5	0.9310344827586208	5201	1792	0.9685541224493972	B	N	BN	9691	0.003460872909055951
CirComPara2	NCLcomparator	NCI-H23	4944	1660	0.9814814814814816	count ≥ 5	0.9545454545454546	4912	1692	0.9745802462337896	B	L	BL	9964	0.006514657980456026
CirComPara2	NCLcomparator	HLF	5614	2112	0.9814814814814816	count ≥ 5	0.9545454545454546	5580	2146	0.9739996391562534	B	L	BL	11465	0.0060931899641577065
CirComPara2	NCLcomparator	SW480	5217	1742	0.9814814814814816	count ≥ 5	0.9545454545454546	5201	1758	0.974676834929745	B	L	BL	9691	0.0030763314747164006
CirComPara2	PFv2	NCI-H23	5690	180	0.9814814814814816	count ≥ 5	0.2714285714285714	4912	958	0.8655989111525738	B	M	BM	9964	0.15838762214983712
CirComPara2	PFv2	HLF	6365	243	0.9814814814814816	count ≥ 5	0.2714285714285714	5580	1028	0.8710192551596911	B	M	BM	11465	0.14068100358422939
CirComPara2	PFv2	SW480	5816	237	0.9814814814814816	count ≥ 5	0.2714285714285714	5201	852	0.8815368128270823	B	M	BM	9691	0.11824649105941165
CirComPara2	segemehl	NCI-H23	5267	793	0.9814814814814816	count ≥ 5	0.90625	4912	1148	0.9672297090820193	B	O	BO	9964	0.07227198697068404
CirComPara2	segemehl	HLF	5980	972	0.9814814814814816	count ≥ 5	0.90625	5580	1372	0.9666343018795552	B	O	BO	11465	0.07168458781362007
CirComPara2	segemehl	SW480	5266	274	0.9814814814814816	count ≥ 5	0.90625	5201	339	0.9768779666399253	B	O	BO	9691	0.012497596616035379
CirComPara2	CircSplice	NCI-H23	5297	2843	0.9814814814814816	count ≥ 5	0.8823529411764706	4912	3228	0.942171048053401	B	E	BE	9964	0.07837947882736156
CirComPara2	CircSplice	HLF	6119	3557	0.9814814814814816	count ≥ 5	0.8823529411764706	5580	4096	0.9395188418484386	B	E	BE	11465	0.096594982078853045
CirComPara2	CircSplice	SW480	5494	2915	0.9814814814814816	count ≥ 5	0.8823529411764706	5201	3208	0.9436643382660606	B	E	BE	9691	0.05633532013074409
circRNA_finder	circtools	NCI-H23	4521	2838	0.953125	count ≥ 5	0.9523809523809524	2962	4397	0.952680431800387	C	F	CF	9964	0.5263335584064821
circRNA_finder	circtools	HLF	5597	3656	0.953125	count ≥ 5	0.9523809523809524	3784	5469	0.9526852295008568	C	F	CF	11465	0.47912262156448204
circRNA_finder	circtools	SW480	4563	2876	0.953125	count ≥ 5	0.9523809523809524	3001	4438	0.9526811119326075	C	F	CF	9691	0.5204931689436855
circRNA_finder	CIRCexplorer3	NCI-H23	5370	2339	0.953125	count ≥ 5	0.927536231884058	2962	4747	0.9373681077641228	C	A	AC	9964	0.812964213369345
circRNA_finder	CIRCexplorer3	HLF	6343	2971	0.953125	count ≥ 5	0.927536231884058	3784	5530	0.9379321840582822	C	A	AC	11465	0.6762684989429175
circRNA_finder	CIRCexplorer3	SW480	5488	2437	0.953125	count ≥ 5	0.927536231884058	3001	4924	0.9372260606684041	C	A	AC	9691	0.8287237587470843
circRNA_finder	CirComPara2	NCI-H23	5274	2600	0.953125	count ≥ 5	0.9814814814814816	2962	4912	0.9708144890826819	C	B	BC	9964	0.7805536799459825
circRNA_finder	CirComPara2	HLF	6086	3278	0.953125	count ≥ 5	0.9814814814814816	3784	5580	0.9700226043001567	C	B	BC	11465	0.6083509513742071
circRNA_finder	CirComPara2	SW480	5501	2701	0.953125	count ≥ 5	0.9814814814814816	3001	5201	0.9711062314295521	C	B	BC	9691	0.8330556481172943
circRNA_finder	circRNA_finder	NCI-H23	2962	2962	0.953125	count ≥ 5	0.953125	2962	2962	0.953125	C	C	C	9964	0
circRNA_finder	circRNA_finder	HLF	3784	3784	0.953125	count ≥ 5	0.953125	3784	3784	0.953125	C	C	C	11465	0
circRNA_finder	circRNA_finder	SW480	3001	3001	0.953125	count ≥ 5	0.953125	3001	3001	0.953125	C	C	C	9691	0
circRNA_finder	circseq_cup	NCI-H23	4915	831	0.953125	count ≥ 5	0.7297297297297297	2962	2784	0.8448875422150309	C	D	CD	9964	0.6593517893315327
circRNA_finder	circseq_cup	HLF	5889	785	0.953125	count ≥ 5	0.7297297297297297	3784	2890	0.8563895593225829	C	D	CD	11465	0.5562896405919662
circRNA_finder	circseq_cup	SW480	4944	803	0.953125	count ≥ 5	0.7297297297297297	3001	2746	0.8463834979707391	C	D	CD	9691	0.647450849716761
circRNA_finder	CIRI2	NCI-H23	6372	2798	0.953125	count ≥ 5	0.913793103448276	2962	6208	0.926497692061821	C	G	CG	9964	1.151249155975692
circRNA_finder	CIRI2	HLF	7600	3602	0.953125	count ≥ 5	0.913793103448276	3784	7418	0.9270792931065267	C	G	CG	11465	1.0084566596194504
circRNA_finder	CIRI2	SW480	6471	2864	0.953125	count ≥ 5	0.913793103448276	3001	6334	0.92643745498033	C	G	CG	9691	1.1562812395868043
circRNA_finder	CIRIquant	NCI-H23	4827	2429	0.953125	count ≥ 5	0.9830508474576272	2962	4294	0.9708347007970026	C	H	CH	9964	0.6296421336934503
circRNA_finder	CIRIquant	HLF	5810	3074	0.953125	count ≥ 5	0.9830508474576272	3784	5100	0.9703044036508217	C	H	CH	11465	0.5354122621564482
circRNA_finder	CIRIquant	SW480	4981	2487	0.953125	count ≥ 5	0.9830508474576272	3001	4467	0.9710252089707044	C	H	CH	9691	0.659780073308897
circRNA_finder	ecircscreen	NCI-H23	3439	1432	0.953125	count ≥ 5	0.9666666666666668	2962	1909	0.9584321323479095	C	I	CI	9964	0.16103983794733287
circRNA_finder	ecircscreen	HLF	4268	1826	0.953125	count ≥ 5	0.9666666666666668	3784	2310	0.9582581227436823	C	I	CI	11465	0.12790697674418605
circRNA_finder	ecircscreen	SW480	3498	1471	0.953125	count ≥ 5	0.9666666666666668	3001	1968	0.9584882521634133	C	I	CI	9691	0.1656114628457181
circRNA_finder	find_circ	NCI-H23	4000	2005	0.953125	count ≥ 5	0.9402985074626866	2962	3043	0.9466252469956629	C	J	CJ	9964	0.350438892640108
circRNA_finder	find_circ	HLF	4842	2511	0.953125	count ≥ 5	0.9402985074626866	3784	3569	0.9468992755520643	C	J	CJ	11465	0.2795983086680761
circRNA_finder	find_circ	SW480	3979	1994	0.953125	count ≥ 5	0.9402985074626866	3001	2972	0.9467428912069488	C	J	CJ	9691	0.3258913695434855
circRNA_finder	KNIFE	NCI-H23	3432	1409	0.953125	count ≥ 5	0.9047619047619048	2962	1879	0.9343532057524518	C	K	CK	9964	0.1586765698852127
circRNA_finder	KNIFE	HLF	4245	1822	0.953125	count ≥ 5	0.9047619047619048	3784	2283	0.9349260637170642	C	K	CK	11465	0.12182875264270614
circRNA_finder	KNIFE	SW480	3549	1477	0.953125	count ≥ 5	0.9047619047619048	3001	2025	0.9336392722130634	C	K	CK	9691	0.1826057980673109
circRNA_finder	NCLscan	NCI-H23	3278	1425	0.953125	count ≥ 5	0.9310344827586208	2962	1741	0.9449473281911034	C	N	CN	9964	0.10668467251856853
circRNA_finder	NCLscan	HLF	4138	1843	0.953125	count ≥ 5	0.9310344827586208	3784	2197	0.9450104929979418	C	N	CN	11465	0.09355179704016914
