chr	start	end	strand	BSJ_count	BSJ_count_int	Cq	Cq_mean_PCR	circ_id
chrX	53647367	53680186	-	4	(4-6]	30.58	31.174999999999997	chrX:53647367-53680186/-
chr8	140572811	140585311	-	4	(4-6]	29.57	29.21	chr8:140572811-140585311/-
chr1	153664042	153668557	-	4	(4-6]	40	40	chr1:153664042-153668557/-
chr12	122288488	122316855	-	4	(4-6]	40	40	chr12:122288488-122316855/-
chr5	115130591	115134147	-	8	(7-10]	29.21	29.635	chr5:115130591-115134147/-
chr2	32098795	32116212	+	10	(7-10]	40	40	chr2:32098795-32116212/+
chr2	26373366	26383347	+	7	(7-10]	28.63	28.835	chr2:26373366-26383347/+
chr7	56055623	56059640	+	8	(7-10]	40	40	chr7:56055623-56059640/+
chr13	45151686	45207505	+	8	(7-10]	29.21	28.795	chr13:45151686-45207505/+
chr7	39987598	40047877	+	15	(10-15]	26.82	26.965	chr7:39987598-40047877/+
chr19	46782382	46784559	-	11	(10-15]	28.13	28.275	chr19:46782382-46784559/-
chr13	41811224	41833531	-	15	(10-15]	27.46	27.47	chr13:41811224-41833531/-
chr3	121714860	121730973	-	11	(10-15]	27.39	27.295	chr3:121714860-121730973/-
chr9	19286768	19305527	+	13	(10-15]	27.07	27.035	chr9:19286768-19305527/+
chr4	128074459	128077962	+	16	(15-25]	26.93	27.11	chr4:128074459-128077962/+
chr15	62007307	62013992	-	21	(15-25]	26.96	27.05	chr15:62007307-62013992/-
chr11	129123445	129124894	-	24	(15-25]	25.76	25.715000000000003	chr11:129123445-129124894/-
chr17	46170854	46172232	-	17	(15-25]	25.55	25.58	chr17:46170854-46172232/-
chr3	138570317	138572932	-	21	(15-25]	28.39	28.28	chr3:138570317-138572932/-
chr5	138824529	138827718	+	38	(26-39]	26.5	26.59	chr5:138824529-138827718/+
chrX	9890976	9898290	+	28	(26-39]	40	42	chrX:9890976-9898290/+
chr19	18539370	18539720	-	39	(26-39]	25.78	25.8	chr19:18539370-18539720/-
chr17	20245925	20260294	+	36	(26-39]	36.13	35.875	chr17:20245925-20260294/+
chr9	37424844	37426654	+	28	(26-39]	27.03	26.905	chr9:37424844-37426654/+
chr16	3850296	3851009	-	43	(40-62]	26.73	26.685	chr16:3850296-3851009/-
chr7	74338447	74339004	+	47	(40-62]	29.33	29.525	chr7:74338447-74339004/+
chr8	17268257	17286427	+	44	(40-62]	25.07	25.075	chr8:17268257-17286427/+
chr11	85996825	86031611	-	50	(40-62]	24.92	24.97	chr11:85996825-86031611/-
chr2	239990073	240007370	-	44	(40-62]	29.49	29.44	chr2:239990073-240007370/-
chr1	213996468	214011715	+	553	> 63	22.52	22.515	chr1:213996468-214011715/+
chr18	21765771	21779685	+	188	> 63	21.82	21.83	chr18:21765771-21779685/+
chr14	21503172	21503881	-	90	> 63	26.75	26.71	chr14:21503172-21503881/-
chr14	32090501	32117287	+	104	> 63	22.84	22.869999999999997	chr14:32090501-32117287/+
chr17	20204332	20205912	+	475	> 63	23.18	23.21	chr17:20204332-20205912/+
chr4	1900625	1901251	+	1	count1	27.44	27.475	chr4:1900625-1901251/+
chr5	64785480	64804386	+	1	count1	35.53	34.04	chr5:64785480-64804386/+
chr2	238268055	238273191	-	1	count1	37.51	36.685	chr2:238268055-238273191/-
chr7	73459535	73478569	-	1	count1	27.62	27.525	chr7:73459535-73478569/-
chr2	37049652	37068930	-	1	count1	32.53	31.69	chr2:37049652-37068930/-
chr12	71880468	71885021	+	1	count1	33.42	36.71	chr12:71880468-71885021/+
chr1	39809053	39813006	-	1	count1	33.76	33.83	chr1:39809053-39813006/-
chr15	75601137	75621056	-	1	count1	40	36.82	chr15:75601137-75621056/-
chr17	44195418	44198130	-	1	count1	40	41.739999999999995	chr17:44195418-44198130/-
chr11	64193077	64197595	+	1	count1	28.37	28.33	chr11:64193077-64197595/+
chr11	94429910	94459581	-	1	count1	28.56	28.94	chr11:94429910-94459581/-
chr8	43059091	43084881	+	1	count1	32.01	32.39	chr8:43059091-43084881/+
chr12	52056493	52057530	+	1	count1	40	42	chr12:52056493-52057530/+
chr4	25259036	25263849	+	1	count1	31.2	31.735	chr4:25259036-25263849/+
chr18	732833	746051	-	1	count1	33.56	36.78	chr18:732833-746051/-
chr7	5905093	5911922	+	1	count1	29.92	29.520000000000003	chr7:5905093-5911922/+
chr8	81823791	81839751	-	1	count1	39.58	38.335	chr8:81823791-81839751/-
chr7	138554697	138573642	+	1	count1	30.67	30.275	chr7:138554697-138573642/+
chr1	173946475	173947582	-	1	count1	32.91	31.96	chr1:173946475-173947582/-
chr1	20849414	20865262	-	1	count1	29.73	29.725	chr1:20849414-20865262/-
chr18	22936753	23016924	+	1	count1	35.45	34.085	chr18:22936753-23016924/+
chr9	115076031	115076575	-	1	count1	35.74	39.28	chr9:115076031-115076575/-
chr15	90939730	90943082	+	1	count1	40	40	chr15:90939730-90943082/+
chr3	56660730	56671692	-	1	count1	25.06	25.075	chr3:56660730-56671692/-
chr7	73470344	73510852	-	1	count1	32.15	31.94	chr7:73470344-73510852/-
chr18	42029324	42049605	+	1	count1	40	37.735	chr18:42029324-42049605/+
chr19	11105219	11107514	+	1	count1	29.89	29.9	chr19:11105219-11107514/+
chr20	62124616	62131506	+	1	count1	30.16	29.96	chr20:62124616-62131506/+
chr11	108325309	108329238	+	1	count1	32.11	34.46	chr11:108325309-108329238/+
chrX	134377571	134393952	+	1	count1	40	40	chrX:134377571-134393952/+
chr6	42964789	42969987	-	1	count1	40	40	chr6:42964789-42969987/-
chr16	89635907	89636683	+	1	count1	41.26	39.405	chr16:89635907-89636683/+
chr9	3256990	3288250	-	1	count1	33.97	33.985	chr9:3256990-3288250/-
chr11	116873480	116877042	-	1	count1	32.61	36.305	chr11:116873480-116877042/-
chr1	11157151	11167517	-	1	count1	38.08	40.2	chr1:11157151-11167517/-
chr16	88577109	88577726	+	1	count1	30.54	31.07	chr16:88577109-88577726/+
chr14	74503218	74503386	-	1	count1	35.56	38.175	chr14:74503218-74503386/-
chr8	42943312	42957156	+	1	count1	40	36.68	chr8:42943312-42957156/+
chr11	43798319	43840064	+	1	count1	40	40	chr11:43798319-43840064/+
chr13	28256291	28280541	+	1	count1	30.58	30.44	chr13:28256291-28280541/+
chr12	42393569	42398994	+	1	count1	29.51	29.26	chr12:42393569-42398994/+
chr22	29636750	29658264	+	1	count1	34.65	33.795	chr22:29636750-29658264/+
chr12	830002	883059	+	1	count1	32.78	33.57	chr12:830002-883059/+
chr7	100408538	100416456	-	1	count1	32.35	32.055	chr7:100408538-100416456/-
chr1	39309569	39319747	+	1	count1	40	40	chr1:39309569-39319747/+
chr12	123315372	123348133	-	1	count1	32.21	32.25	chr12:123315372-123348133/-
chr4	53383772	53453133	+	1	count1	29.12	29.36	chr4:53383772-53453133/+
chr14	102208602	102209862	+	1	count1	28.09	28.04	chr14:102208602-102209862/+
chr3	142329433	142370620	-	1	count1	40	36.989999999999995	chr3:142329433-142370620/-
chr2	96923489	96951484	-	1	count1	28	28	chr2:96923489-96951484/-
chr11	3691346	3706627	-	1	count1	32.84	32.155	chr11:3691346-3706627/-
chr17	61693429	61744591	-	2	count2	30.99	30.905	chr17:61693429-61744591/-
chr22	39415005	39428183	+	2	count2	32.55	36.09	chr22:39415005-39428183/+
chr2	172491023	172501901	+	2	count2	31.17	31.16	chr2:172491023-172501901/+
chr6	57193841	57196606	-	2	count2	29.02	29.119999999999997	chr6:57193841-57196606/-
chr2	159347485	159350357	-	2	count2	33.11	32.75	chr2:159347485-159350357/-
chr10	121910905	121924329	-	3	count3	30.14	30.76	chr10:121910905-121924329/-
chr19	32915336	32918339	-	3	count3	29.96	29.615	chr19:32915336-32918339/-
chrX	18948743	18954412	-	3	count3	40	40	chrX:18948743-18954412/-
chr8	142300485	142345892	-	3	count3	40	36.66	chr8:142300485-142345892/-
chr2	135313488	135350215	-	3	count3	32.95	33.395	chr2:135313488-135350215/-
chr10	49500537	49506012	-	4	(4-6]	29.85	29.985	chr10:49500537-49506012/-
chrX	53647367	53680186	-	4	(4-6]	31.77	31.174999999999997	chrX:53647367-53680186/-
chr8	140572811	140585311	-	4	(4-6]	28.85	29.21	chr8:140572811-140585311/-
chr1	153664042	153668557	-	4	(4-6]	40	40	chr1:153664042-153668557/-
chr12	122288488	122316855	-	4	(4-6]	40	40	chr12:122288488-122316855/-
chr5	115130591	115134147	-	8	(7-10]	30.06	29.635	chr5:115130591-115134147/-
chr2	32098795	32116212	+	10	(7-10]	40	40	chr2:32098795-32116212/+
chr2	26373366	26383347	+	7	(7-10]	29.04	28.835	chr2:26373366-26383347/+
chr7	56055623	56059640	+	8	(7-10]	40	40	chr7:56055623-56059640/+
chr13	45151686	45207505	+	8	(7-10]	28.38	28.795	chr13:45151686-45207505/+
chr7	39987598	40047877	+	15	(10-15]	27.11	26.965	chr7:39987598-40047877/+
chr19	46782382	46784559	-	11	(10-15]	28.42	28.275	chr19:46782382-46784559/-
chr13	41811224	41833531	-	15	(10-15]	27.48	27.47	chr13:41811224-41833531/-
chr3	121714860	121730973	-	11	(10-15]	27.2	27.295	chr3:121714860-121730973/-
chr9	19286768	19305527	+	13	(10-15]	27	27.035	chr9:19286768-19305527/+
chr4	128074459	128077962	+	16	(15-25]	27.29	27.11	chr4:128074459-128077962/+
chr15	62007307	62013992	-	21	(15-25]	27.14	27.05	chr15:62007307-62013992/-
chr11	129123445	129124894	-	24	(15-25]	25.67	25.715000000000003	chr11:129123445-129124894/-
chr17	46170854	46172232	-	17	(15-25]	25.61	25.58	chr17:46170854-46172232/-
chr3	138570317	138572932	-	21	(15-25]	28.17	28.28	chr3:138570317-138572932/-
chr5	138824529	138827718	+	38	(26-39]	26.68	26.59	chr5:138824529-138827718/+
chrX	9890976	9898290	+	28	(26-39]	44	42	chrX:9890976-9898290/+
chr19	18539370	18539720	-	39	(26-39]	25.82	25.8	chr19:18539370-18539720/-
chr17	20245925	20260294	+	36	(26-39]	35.62	35.875	chr17:20245925-20260294/+
chr9	37424844	37426654	+	28	(26-39]	26.78	26.905	chr9:37424844-37426654/+
chr16	3850296	3851009	-	43	(40-62]	26.64	26.685	chr16:3850296-3851009/-
chr7	74338447	74339004	+	47	(40-62]	29.72	29.525	chr7:74338447-74339004/+
chr8	17268257	17286427	+	44	(40-62]	25.08	25.075	chr8:17268257-17286427/+
chr11	85996825	86031611	-	50	(40-62]	25.02	24.97	chr11:85996825-86031611/-
chr2	239990073	240007370	-	44	(40-62]	29.39	29.44	chr2:239990073-240007370/-
chr1	213996468	214011715	+	553	> 63	22.51	22.515	chr1:213996468-214011715/+
chr18	21765771	21779685	+	188	> 63	21.84	21.83	chr18:21765771-21779685/+
chr14	21503172	21503881	-	90	> 63	26.67	26.71	chr14:21503172-21503881/-
chr14	32090501	32117287	+	104	> 63	22.9	22.869999999999997	chr14:32090501-32117287/+
chr17	20204332	20205912	+	475	> 63	23.24	23.21	chr17:20204332-20205912/+
