chr	strand	BSJ_count	cell_line	tool	circ_id	circ_id_strand	start	end	circ_ID	design	primer_found	total_primer_pairs	passed	failed_spec	failed_SNP	failed_sec_str_temp	failed_sec_str_amp
chr2	-	3	HLF	CIRCexplorer3	chr2:24293687-24295804	chr2:24293687-24295804/-	24293687	24295804	circ00012	1	1	20	16	4	0	0	0
chr8	+	1	SW480	CIRCexplorer3	chr8:31080866-31083779	chr8:31080866-31083779/+	31080866	31083779	circ00013	1	1	20	20	0	0	0	0
chr2	-	1	NCI-H23	CIRCexplorer3	chr2:25531472-25580826	chr2:25531472-25580826/-	25531472	25580826	circ00014	1	1	13	13	0	0	0	0
chr1	+	1	HLF	CIRCexplorer3	chr1:42683402-42701046	chr1:42683402-42701046/+	42683402	42701046	circ00015	1	1	5	5	0	0	0	0
chr8	+	2	NCI-H23	CIRCexplorer3	chr8:103910320-103961133	chr8:103910320-103961133/+	103910320	103961133	circ00016	1	1	20	20	0	0	0	0
chr1	-	2	SW480	CIRCexplorer3	chr1:200589216-200590272	chr1:200589216-200590272/-	200589216	200590272	circ00017	1	1	20	20	0	0	0	0
chr22	+	1	HLF	CIRCexplorer3	chr22:41637607-41653690	chr22:41637607-41653690/+	41637607	41653690	circ00018	1	1	16	16	0	0	0	0
chr11	+	3	HLF	CIRCexplorer3	chr11:75879878-75983513	chr11:75879878-75983513/+	75879878	75983513	circ00019	1	1	20	20	0	0	0	0
chr4	-	2	NCI-H23	CIRCexplorer3	chr4:102689573-102714561	chr4:102689573-102714561/-	102689573	102714561	circ00020	1	1	20	20	0	0	0	0
chr11	-	3	SW480	CIRCexplorer3	chr11:61527914-61533124	chr11:61527914-61533124/-	61527914	61533124	circ00021	1	1	3	3	0	0	0	0
chr10	-	1	NCI-H23	CIRCexplorer3	chr10:46014443-46016694	chr10:46014443-46016694/-	46014443	46016694	circ00022	1	1	11	11	0	0	0	0
chr14	-	3	HLF	CIRCexplorer3	chr14:99458278-99463578	chr14:99458278-99463578/-	99458278	99463578	circ00023	1	1	11	8	3	0	0	0
chr17	+	2	HLF	CIRCexplorer3	chr17:2991296-3008145	chr17:2991296-3008145/+	2991296	3008145	circ00024	1	1	3	3	0	0	0	0
chr17	+	1	HLF	CIRCexplorer3	chr17:50064076-50068305	chr17:50064076-50068305/+	50064076	50068305	circ00025	1	1	9	9	0	0	0	0
chr22	+	1	HLF	CIRCexplorer3	chr22:35403413-35412681	chr22:35403413-35412681/+	35403413	35412681	circ00026	1	1	14	14	0	0	0	0
chr2	+	1	HLF	CIRCexplorer3	chr2:190900563-190930568	chr2:190900563-190930568/+	190900563	190930568	circ00027	1	1	20	20	0	0	0	0
chr12	+	1	HLF	CIRCexplorer3	chr12:131979693-131982478	chr12:131979693-131982478/+	131979693	131982478	circ00028	0	0	0	0	0	0	0	0
chr1	-	1	HLF	CIRCexplorer3	chr1:1790394-1790596	chr1:1790394-1790596/-	1790394	1790596	circ00029	1	1	5	5	0	0	0	0
chr20	+	1	SW480	CIRCexplorer3	chr20:47639007-47640051	chr20:47639007-47640051/+	47639007	47640051	circ00030	1	1	4	4	0	0	0	0
chr3	-	2	NCI-H23	CIRCexplorer3	chr3:53290790-53304290	chr3:53290790-53304290/-	53290790	53304290	circ00031	1	1	5	4	1	0	0	0
chr20	-	1	SW480	CIRCexplorer3	chr20:33360350-33397084	chr20:33360350-33397084/-	33360350	33397084	circ00032	1	1	14	14	0	0	0	0
chr5	+	1	NCI-H23	CIRCexplorer3	chr5:151799211-151800869	chr5:151799211-151800869/+	151799211	151800869	circ00033	1	1	20	20	0	0	0	0
chr3	-	1	SW480	CIRCexplorer3	chr3:47914816-47928350	chr3:47914816-47928350/-	47914816	47928350	circ00034	1	1	13	13	0	0	0	0
chr3	+	1	NCI-H23	CIRCexplorer3	chr3:128884652-128906249	chr3:128884652-128906249/+	128884652	128906249	circ00035	1	1	7	7	0	0	0	0
chr1	+	3	SW480	CIRCexplorer3	chr1:64629354-64634260	chr1:64629354-64634260/+	64629354	64634260	circ00036	1	1	20	20	0	0	0	0
chr4	-	2	HLF	CIRCexplorer3	chr4:84765809-84803467	chr4:84765809-84803467/-	84765809	84803467	circ00037	1	1	14	14	0	0	0	0
chr19	+	2	HLF	CIRCexplorer3	chr19:17487173-17500632	chr19:17487173-17500632/+	17487173	17500632	circ00038	1	1	12	12	0	0	0	0
chr12	-	1	HLF	CIRCexplorer3	chr12:7367235-7406852	chr12:7367235-7406852/-	7367235	7406852	circ00039	1	1	16	13	3	0	0	0
chr1	-	3	SW480	CIRCexplorer3	chr1:33158252-33159944	chr1:33158252-33159944/-	33158252	33159944	circ00040	1	0	3	0	3	0	0	0
chr17	+	1	NCI-H23	CIRCexplorer3	chr17:58703195-58709990	chr17:58703195-58709990/+	58703195	58709990	circ00041	1	1	20	20	0	0	0	0
chr1	+	4	HLF	CIRCexplorer3	chr1:10347760-10348733	chr1:10347760-10348733/+	10347760	10348733	circ00042	0	0	0	0	0	0	0	0
chr3	+	2	NCI-H23	CIRCexplorer3	chr3:155906159-155916192	chr3:155906159-155916192/+	155906159	155916192	circ00043	1	1	20	10	10	0	0	0
chr2	-	1	NCI-H23	CIRCexplorer3	chr2:11447626-11453798	chr2:11447626-11453798/-	11447626	11453798	circ00044	1	1	20	20	0	0	0	0
chr19	-	2	HLF	CIRCexplorer3	chr19:55203781-55205592	chr19:55203781-55205592/-	55203781	55205592	circ00045	1	0	7	0	7	0	0	0
chr16	+	2	SW480	CIRCexplorer3	chr16:3640714-3643036	chr16:3640714-3643036/+	3640714	3643036	circ00046	1	1	3	3	0	0	0	0
chr16	+	2	NCI-H23	CIRCexplorer3	chr16:25140170-25169213	chr16:25140170-25169213/+	25140170	25169213	circ00047	1	1	16	16	0	0	0	0
chr18	-	4	NCI-H23	CIRCexplorer3	chr18:2951054-2960849	chr18:2951054-2960849/-	2951054	2960849	circ00048	1	1	20	20	0	0	0	0
chr20	+	1	SW480	CIRCexplorer3	chr20:34989739-35002085	chr20:34989739-35002085/+	34989739	35002085	circ00049	1	1	4	4	0	0	0	0
chr1	-	1	HLF	CIRCexplorer3	chr1:50490587-50539728	chr1:50490587-50539728/-	50490587	50539728	circ00050	1	1	7	2	5	0	0	0
chr2	-	1	NCI-H23	CIRCexplorer3	chr2:45413113-45488331	chr2:45413113-45488331/-	45413113	45488331	circ00051	1	1	20	20	0	0	0	0
chr12	-	1	NCI-H23	CIRCexplorer3	chr12:122316748-122328426	chr12:122316748-122328426/-	122316748	122328426	circ00052	1	1	14	14	0	0	0	0
chr2	-	1	SW480	CIRCexplorer3	chr2:200920221-200921139	chr2:200920221-200921139/-	200920221	200921139	circ00053	1	1	20	20	0	0	0	0
chr2	+	1	SW480	CIRCexplorer3	chr2:210015972-210017559	chr2:210015972-210017559/+	210015972	210017559	circ00054	1	1	8	8	0	0	0	0
chr9	+	3	SW480	CIRCexplorer3	chr9:76067954-76159171	chr9:76067954-76159171/+	76067954	76159171	circ00055	1	0	11	0	11	0	0	0
chr18	+	1	NCI-H23	CIRCexplorer3	chr18:2718314-2760739	chr18:2718314-2760739/+	2718314	2760739	circ00056	1	1	6	6	0	0	0	0
chr15	-	3	HLF	CIRCexplorer3	chr15:43415593-43416416	chr15:43415593-43416416/-	43415593	43416416	circ00057	1	1	16	16	0	0	0	0
chr12	+	1	HLF	CIRCexplorer3	chr12:109481636-109483981	chr12:109481636-109483981/+	109481636	109483981	circ00058	1	1	16	16	0	0	0	0
chr7	-	1	HLF	CIRCexplorer3	chr7:128321265-128336042	chr7:128321265-128336042/-	128321265	128336042	circ00059	1	1	20	20	0	0	0	0
chr4	-	1	HLF	CIRCexplorer3	chr4:128942995-128970468	chr4:128942995-128970468/-	128942995	128970468	circ00060	1	1	20	20	0	0	0	0
chr7	-	2	SW480	CIRCexplorer3	chr7:92510943-92518255	chr7:92510943-92518255/-	92510943	92518255	circ00061	1	1	18	18	0	0	0	0
chr2	+	3	SW480	CIRCexplorer3	chr2:26375039-26383347	chr2:26375039-26383347/+	26375039	26383347	circ00062	1	1	17	17	0	0	0	0
chr21	+	4	NCI-H23	CIRCexplorer3	chr21:36362182-36372531	chr21:36362182-36372531/+	36362182	36372531	circ00063	1	1	10	4	6	0	0	0
chr19	+	4	SW480	CIRCexplorer3	chr19:14404382-14407229	chr19:14404382-14407229/+	14404382	14407229	circ00064	1	1	13	13	0	0	0	0
chr5	-	1	NCI-H23	CIRCexplorer3	chr5:41739389-41762200	chr5:41739389-41762200/-	41739389	41762200	circ00065	1	1	20	20	0	0	0	0
chr3	-	1	HLF	CIRCexplorer3	chr3:48692953-48695421	chr3:48692953-48695421/-	48692953	48695421	circ00066	1	1	14	14	0	0	0	0
chr8	-	2	SW480	CIRCexplorer3	chr8:123344883-123348273	chr8:123344883-123348273/-	123344883	123348273	circ00067	1	0	3	0	3	0	0	0
chr17	-	1	HLF	CIRCexplorer3	chr17:59041812-59088407	chr17:59041812-59088407/-	59041812	59088407	circ00068	1	1	20	20	0	0	0	0
chr7	-	1	SW480	CIRCexplorer3	chr7:103321931-103322632	chr7:103321931-103322632/-	103321931	103322632	circ00069	1	1	14	14	0	0	0	0
chr9	-	1	HLF	CIRCexplorer3	chr9:128836801-128838367	chr9:128836801-128838367/-	128836801	128838367	circ00070	1	1	7	7	0	0	0	0
chr4	-	1	SW480	CIRCexplorer3	chr4:186628153-186628763	chr4:186628153-186628763/-	186628153	186628763	circ00071	1	1	20	20	0	0	0	0
chr8	-	4	HLF	CIRCexplorer3	chr8:130358016-130401970	chr8:130358016-130401970/-	130358016	130401970	circ00072	0	0	0	0	0	0	0	0
chr5	-	1	HLF	CIRCexplorer3	chr5:109344189-109383520	chr5:109344189-109383520/-	109344189	109383520	circ00073	1	1	14	14	0	0	0	0
chr2	-	1	NCI-H23	CIRCexplorer3	chr2:61296799-61350693	chr2:61296799-61350693/-	61296799	61350693	circ00074	1	1	20	20	0	0	0	0
chr9	+	1	HLF	CIRCexplorer3	chr9:124013960-124015525	chr9:124013960-124015525/+	124013960	124015525	circ00075	1	1	6	5	1	0	0	0
chr3	-	1	NCI-H23	CIRCexplorer3	chr3:197282678-197296477	chr3:197282678-197296477/-	197282678	197296477	circ00076	1	1	20	20	0	0	0	0
chr15	+	2	HLF	CIRCexplorer3	chr15:50915447-50930971	chr15:50915447-50930971/+	50915447	50930971	circ00077	1	1	20	20	0	0	0	0
chr16	-	3	HLF	CIRCexplorer3	chr16:70394981-70399533	chr16:70394981-70399533/-	70394981	70399533	circ00078	1	1	6	6	0	0	0	0
chr2	+	1	HLF	CIRCexplorer3	chr2:32473111-32518946	chr2:32473111-32518946/+	32473111	32518946	circ00079	1	1	20	20	0	0	0	0
chr11	-	1	NCI-H23	CIRCexplorer3	chr11:77672041-77691238	chr11:77672041-77691238/-	77672041	77691238	circ00080	1	1	20	16	4	0	0	0
chr3	+	1	HLF	CIRCexplorer3	chr3:94971270-94990070	chr3:94971270-94990070/+	94971270	94990070	circ00081	1	1	8	8	0	0	0	0
chr4	-	2	SW480	CIRCexplorer3	chr4:169463242-169508331	chr4:169463242-169508331/-	169463242	169508331	circ00082	1	1	20	20	0	0	0	0
chr11	-	2	HLF	CIRCexplorer3	chr11:83265864-83280260	chr11:83265864-83280260/-	83265864	83280260	circ00083	1	1	17	17	0	0	0	0
chr8	-	1	SW480	CIRCexplorer3	chr8:102311734-102342684	chr8:102311734-102342684/-	102311734	102342684	circ00084	1	1	20	20	0	0	0	0
chr1	-	1	HLF	CIRCexplorer3	chr1:29150102-29154910	chr1:29150102-29154910/-	29150102	29154910	circ00085	1	1	11	9	2	0	0	0
chr1	+	1	SW480	CIRCexplorer3	chr1:244686596-244692020	chr1:244686596-244692020/+	244686596	244692020	circ00086	1	1	20	20	0	0	0	0
chr7	+	1	NCI-H23	CIRCexplorer3	chr7:5216562-5228211	chr7:5216562-5228211/+	5216562	5228211	circ00087	1	1	3	3	0	0	0	0
chr12	-	1	NCI-H23	CIRCexplorer3	chr12:109961612-109991760	chr12:109961612-109991760/-	109961612	109991760	circ00088	1	1	20	7	13	0	0	0
chr7	+	4	NCI-H23	CIRCexplorer3	chr7:105062163-105091314	chr7:105062163-105091314/+	105062163	105091314	circ00089	1	1	9	9	0	0	0	0
chr19	+	1	HLF	CIRCexplorer3	chr19:33109716-33125202	chr19:33109716-33125202/+	33109716	33125202	circ00090	1	1	20	13	7	0	0	0
chr20	+	1	NCI-H23	CIRCexplorer3	chr20:47635321-47636762	chr20:47635321-47636762/+	47635321	47636762	circ00091	1	1	20	20	0	0	0	0
chrX	+	1	SW480	CIRCexplorer3	chrX:118387339-118393271	chrX:118387339-118393271/+	118387339	118393271	circ00092	1	1	12	10	2	0	0	0
chr14	+	2	SW480	CIRCexplorer3	chr14:75779574-75902224	chr14:75779574-75902224/+	75779574	75902224	circ00093	1	1	6	6	0	0	0	0
chr2	-	1	NCI-H23	CIRCexplorer3	chr2:175080659-175097593	chr2:175080659-175097593/-	175080659	175097593	circ00094	1	1	20	20	0	0	0	0
chr5	+	2	SW480	CIRCexplorer3	chr5:56856599-56873005	chr5:56856599-56873005/+	56856599	56873005	circ00095	1	1	18	18	0	0	0	0
chr6	-	2	HLF	CIRCexplorer3	chr6:104833041-104849246	chr6:104833041-104849246/-	104833041	104849246	circ00096	1	1	20	20	0	0	0	0
chr7	+	1	SW480	CIRCexplorer3	chr7:75411407-75411574	chr7:75411407-75411574/+	75411407	75411574	circ00097	1	1	4	4	0	0	0	0
chr19	-	2	HLF	CIRCexplorer3	chr19:32887751-32918339	chr19:32887751-32918339/-	32887751	32918339	circ00098	1	1	1	1	0	0	0	0
chr7	-	2	SW480	CIRCexplorer3	chr7:127106495-127106712	chr7:127106495-127106712/-	127106495	127106712	circ00099	1	1	20	20	0	0	0	0
chr17	+	1	NCI-H23	CIRCexplorer3	chr17:66732687-66788979	chr17:66732687-66788979/+	66732687	66788979	circ00100	1	1	7	7	0	0	0	0
chr11	-	1	NCI-H23	CIRCexplorer3	chr11:18286590-18292019	chr11:18286590-18292019/-	18286590	18292019	circ00101	1	1	20	20	0	0	0	0
chr1	+	1	NCI-H23	CIRCexplorer3	chr1:15626668-15649823	chr1:15626668-15649823/+	15626668	15649823	circ00102	1	1	17	15	2	0	0	0
chr7	-	1	NCI-H23	CIRCexplorer3	chr7:5729431-5741815	chr7:5729431-5741815/-	5729431	5741815	circ00103	1	1	20	20	0	0	0	0
chr1	-	2	SW480	CIRCexplorer3	chr1:20854977-20865262	chr1:20854977-20865262/-	20854977	20865262	circ00104	1	1	20	20	0	0	0	0
chr11	+	3	NCI-H23	CIRCexplorer3	chr11:130126699-130135715	chr11:130126699-130135715/+	130126699	130135715	circ00105	1	1	15	15	0	0	0	0
chr9	-	3	NCI-H23	CIRCexplorer3	chr9:13168365-13250372	chr9:13168365-13250372/-	13168365	13250372	circ00106	1	1	20	9	11	0	0	0
chr20	-	3	NCI-H23	CIRCexplorer3	chr20:34727258-34792563	chr20:34727258-34792563/-	34727258	34792563	circ00107	0	0	0	0	0	0	0	0
chr15	+	1	SW480	CIRCexplorer3	chr15:92924320-93020258	chr15:92924320-93020258/+	92924320	93020258	circ00108	1	1	20	20	0	0	0	0
chr15	+	1	SW480	CIRCexplorer3	chr15:90486029-90492711	chr15:90486029-90492711/+	90486029	90492711	circ00109	1	1	5	4	0	0	0	1
chr14	-	2	NCI-H23	CIRCexplorer3	chr14:73282358-73287314	chr14:73282358-73287314/-	73282358	73287314	circ00110	1	1	20	20	0	0	0	0
chr19	-	2	SW480	CIRCexplorer3	chr19:5609994-5613527	chr19:5609994-5613527/-	5609994	5613527	circ00111	1	1	20	16	4	0	0	0
chr1	+	1	NCI-H23	CIRCexplorer3	chr1:202416786-202422738	chr1:202416786-202422738/+	202416786	202422738	circ00112	1	1	20	20	0	0	0	0
chr10	+	1	NCI-H23	CIRCexplorer3	chr10:97430378-97431135	chr10:97430378-97431135/+	97430378	97431135	circ00113	1	1	17	16	0	0	0	1
chr13	-	3	NCI-H23	CIRCexplorer3	chr13:49997073-50044768	chr13:49997073-50044768/-	49997073	50044768	circ00114	0	0	0	0	0	0	0	0
chr3	+	2	NCI-H23	CIRCexplorer3	chr3:66262050-66263379	chr3:66262050-66263379/+	66262050	66263379	circ00115	0	0	0	0	0	0	0	0
chr2	+	3	NCI-H23	CIRCexplorer3	chr2:47475024-47478519	chr2:47475024-47478519/+	47475024	47478519	circ00116	1	1	20	20	0	0	0	0
chr3	+	1	SW480	CIRCexplorer3	chr3:53851998-53852997	chr3:53851998-53852997/+	53851998	53852997	circ00117	1	1	20	20	0	0	0	0
chr22	+	1	NCI-H23	CIRCexplorer3	chr22:41135812-41140257	chr22:41135812-41140257/+	41135812	41140257	circ00118	1	1	13	13	0	0	0	0
chr18	+	1	SW480	CIRCexplorer3	chr18:42029324-42049605	chr18:42029324-42049605/+	42029324	42049605	circ00119	1	1	7	4	3	0	0	0
chr14	-	1	NCI-H23	CIRCexplorer3	chr14:69062383-69091887	chr14:69062383-69091887/-	69062383	69091887	circ00120	1	1	12	12	0	0	0	0
chr19	-	2	SW480	CIRCexplorer3	chr19:1990003-1997463	chr19:1990003-1997463/-	1990003	1997463	circ00121	1	1	7	5	2	0	0	0
chr1	-	3	NCI-H23	CIRCexplorer3	chr1:200648438-200650676	chr1:200648438-200650676/-	200648438	200650676	circ00122	1	1	16	16	0	0	0	0
chr7	-	1	SW480	CIRCexplorer3	chr7:2014501-2069338	chr7:2014501-2069338/-	2014501	2069338	circ00123	0	0	0	0	0	0	0	0
chr7	-	1	NCI-H23	CIRCexplorer3	chr7:2213211-2235564	chr7:2213211-2235564/-	2213211	2235564	circ00124	1	1	3	3	0	0	0	0
chr10	+	1	SW480	CIRCexplorer3	chr10:1103598-1125024	chr10:1103598-1125024/+	1103598	1125024	circ00125	1	1	18	18	0	0	0	0
chr16	-	1	HLF	CIRCexplorer3	chr16:89291012-89291799	chr16:89291012-89291799/-	89291012	89291799	circ00126	0	0	0	0	0	0	0	0
chr14	-	3	HLF	CIRCexplorer3	chr14:70584816-70597777	chr14:70584816-70597777/-	70584816	70597777	circ00127	1	1	16	16	0	0	0	0
chr11	+	1	HLF	CIRCexplorer3	chr11:6538382-6540083	chr11:6538382-6540083/+	6538382	6540083	circ00128	1	1	5	5	0	0	0	0
chr17	-	2	HLF	CIRCexplorer3	chr17:59031895-59057054	chr17:59031895-59057054/-	59031895	59057054	circ00129	1	1	20	20	0	0	0	0
chr5	-	1	NCI-H23	CIRCexplorer3	chr5:79447052-79457018	chr5:79447052-79457018/-	79447052	79457018	circ00130	1	1	20	20	0	0	0	0
chr10	+	2	HLF	CIRCexplorer3	chr10:115215696-115215880	chr10:115215696-115215880/+	115215696	115215880	circ00131	1	1	20	20	0	0	0	0
chr9	-	2	NCI-H23	CIRCexplorer3	chr9:85575314-85579096	chr9:85575314-85579096/-	85575314	85579096	circ00132	1	1	20	20	0	0	0	0
chr7	-	2	HLF	CIRCexplorer3	chr7:2222574-2230727	chr7:2222574-2230727/-	2222574	2230727	circ00133	1	1	11	10	1	0	0	1
chr2	+	2	SW480	CIRCexplorer3	chr2:190895151-190905167	chr2:190895151-190905167/+	190895151	190905167	circ00134	1	1	20	20	0	0	0	0
chr14	+	1	NCI-H23	CIRCexplorer3	chr14:56605569-56618763	chr14:56605569-56618763/+	56605569	56618763	circ00135	1	1	14	14	0	0	0	0
chr22	-	1	HLF	CIRCexplorer3	chr22:20721297-20729711	chr22:20721297-20729711/-	20721297	20729711	circ00136	0	0	0	0	0	0	0	0
chr1	+	2	HLF	CIRCexplorer3	chr1:1485015-1486668	chr1:1485015-1486668/+	1485015	1486668	circ00137	1	1	3	2	0	0	0	1
chr2	+	1	SW480	CIRCexplorer3	chr2:105816429-105855289	chr2:105816429-105855289/+	105816429	105855289	circ00138	1	1	6	6	0	0	0	0
chr5	+	3	SW480	CIRCexplorer3	chr5:140485588-140506977	chr5:140485588-140506977/+	140485588	140506977	circ00139	1	1	20	17	3	0	0	0
chr2	+	1	HLF	CIRCexplorer3	chr2:235797758-235930923	chr2:235797758-235930923/+	235797758	235930923	circ00140	1	1	13	12	1	0	0	0
chr3	-	1	SW480	CIRCexplorer3	chr3:33581820-33584920	chr3:33581820-33584920/-	33581820	33584920	circ00141	1	1	18	18	0	0	0	0
chr4	-	1	NCI-H23	CIRCexplorer3	chr4:73120161-73151524	chr4:73120161-73151524/-	73120161	73151524	circ00142	1	1	20	17	3	0	0	0
chr3	-	1	HLF	CIRCexplorer3	chr3:149074214-149076047	chr3:149074214-149076047/-	149074214	149076047	circ00143	1	1	20	20	0	0	0	0
chr21	+	1	NCI-H23	CIRCexplorer3	chr21:36333645-36341546	chr21:36333645-36341546/+	36333645	36341546	circ00144	1	0	20	0	20	0	0	0
chrX	-	2	HLF	CIRCexplorer3	chrX:63697124-63706449	chrX:63697124-63706449/-	63697124	63706449	circ00145	1	1	16	16	0	0	0	0
chr14	+	1	SW480	CIRCexplorer3	chr14:37936233-37939559	chr14:37936233-37939559/+	37936233	37939559	circ00146	1	1	20	20	0	0	0	0
chr16	-	1	NCI-H23	CIRCexplorer3	chr16:24930783-24968772	chr16:24930783-24968772/-	24930783	24968772	circ00147	1	1	20	20	0	0	0	0
chr4	-	4	NCI-H23	CIRCexplorer3	chr4:102799406-102809855	chr4:102799406-102809855/-	102799406	102809855	circ00148	1	1	17	17	0	0	0	0
chr5	+	2	HLF	CIRCexplorer3	chr5:122795265-122808355	chr5:122795265-122808355/+	122795265	122808355	circ00149	1	1	20	20	0	0	0	0
chr14	+	2	HLF	CIRCexplorer3	chr14:45154696-45159280	chr14:45154696-45159280/+	45154696	45159280	circ00150	1	1	20	20	0	0	0	0
chr17	+	1	NCI-H23	CIRCexplorer3	chr17:47361377-47414919	chr17:47361377-47414919/+	47361377	47414919	circ00151	1	1	4	4	0	0	0	0
chr9	-	4	HLF	CIRCexplorer3	chr9:20448122-20620834	chr9:20448122-20620834/-	20448122	20620834	circ00152	1	1	15	15	0	0	0	0
chr8	-	1	HLF	CIRCexplorer3	chr8:102838743-102850144	chr8:102838743-102850144/-	102838743	102850144	circ00153	1	1	20	20	0	0	0	0
chr6	+	2	HLF	CIRCexplorer3	chr6:167870382-167907289	chr6:167870382-167907289/+	167870382	167907289	circ00154	1	1	20	20	0	0	0	0
chr7	+	1	NCI-H23	CIRCexplorer3	chr7:143264085-143268943	chr7:143264085-143268943/+	143264085	143268943	circ00155	1	1	13	13	0	0	0	0
chr9	+	1	NCI-H23	CIRCexplorer3	chr9:132197965-132198609	chr9:132197965-132198609/+	132197965	132198609	circ00156	1	1	15	15	0	0	0	0
chr22	+	2	HLF	CIRCexplorer3	chr22:29661204-29671948	chr22:29661204-29671948/+	29661204	29671948	circ00157	1	1	20	19	1	0	0	0
chr17	+	2	HLF	CIRCexplorer3	chr17:44351549-44352248	chr17:44351549-44352248/+	44351549	44352248	circ00158	1	1	1	1	0	0	0	0
chr7	+	1	SW480	CIRCexplorer3	chr7:100056910-100057890	chr7:100056910-100057890/+	100056910	100057890	circ00159	1	1	20	20	0	0	0	0
chr13	+	1	SW480	CIRCexplorer3	chr13:102627011-102630195	chr13:102627011-102630195/+	102627011	102630195	circ00160	1	1	20	20	0	0	0	0
chr16	-	4	NCI-H23	CIRCexplorer3	chr16:88831997-88841971	chr16:88831997-88841971/-	88831997	88841971	circ00161	0	0	0	0	0	0	0	0
chr1	-	1	HLF	CIRCexplorer3	chr1:6294863-6349866	chr1:6294863-6349866/-	6294863	6349866	circ00162	1	1	1	1	0	0	0	0
chr12	-	1	NCI-H23	CIRCexplorer3	chr12:96294998-96300360	chr12:96294998-96300360/-	96294998	96300360	circ00163	1	1	14	8	6	0	0	0
chr1	+	1	NCI-H23	CIRCexplorer3	chr1:35385441-35390098	chr1:35385441-35390098/+	35385441	35390098	circ00164	1	1	20	20	0	0	0	0
chr3	+	2	HLF	CIRCexplorer3	chr3:108647942-108651162	chr3:108647942-108651162/+	108647942	108651162	circ00165	1	1	20	3	17	0	0	0
chr12	+	1	SW480	CIRCexplorer3	chr12:27714779-27716458	chr12:27714779-27716458/+	27714779	27716458	circ00166	1	1	20	15	5	0	0	0
chr22	-	2	SW480	CIRCexplorer3	chr22:33761370-33856802	chr22:33761370-33856802/-	33761370	33856802	circ00167	1	1	20	16	4	0	0	0
chrX	-	1	SW480	CIRCexplorer3	chrX:77633206-77636056	chrX:77633206-77636056/-	77633206	77636056	circ00168	1	1	20	20	0	0	0	0
chr2	+	1	HLF	CIRCexplorer3	chr2:158577270-158640759	chr2:158577270-158640759/+	158577270	158640759	circ00169	1	1	15	15	0	0	0	0
chr8	-	1	NCI-H23	CIRCexplorer3	chr8:102287432-102288266	chr8:102287432-102288266/-	102287432	102288266	circ00170	1	1	16	16	0	0	0	0
chr18	-	2	NCI-H23	CIRCexplorer3	chr18:70047970-70075541	chr18:70047970-70075541/-	70047970	70075541	circ00171	1	1	20	20	0	0	0	0
chr10	-	2	SW480	CIRCexplorer3	chr10:30336802-30340450	chr10:30336802-30340450/-	30336802	30340450	circ00172	1	1	20	20	0	0	0	0
chrX	+	3	SW480	CIRCexplorer3	chrX:24699424-24826601	chrX:24699424-24826601/+	24699424	24826601	circ00173	1	1	20	20	0	0	0	0
chr17	-	1	HLF	CIRCexplorer3	chr17:16143605-16194639	chr17:16143605-16194639/-	16143605	16194639	circ00174	1	0	20	0	20	0	0	0
chr14	+	1	SW480	CIRCexplorer3	chr14:60114699-60116060	chr14:60114699-60116060/+	60114699	60116060	circ00175	1	1	8	8	0	0	0	0
